from/to;MON;APT;ASL;DAB;DSA;DSS;GFAGFB;GFC;KVB;MID;NLNVAL;OSC;OSE;OSO;OSS;STA;STB;STC;TEN;TEQ;TRB;TRC;TRO;VFB
MON;0;63.84;76.23;42.91;84.06;82.17;73.86;70.21;62.02;78.3;66.75999999999999;54.92;56.05;49.3;60.09;82.7;82.81;81.99;32.18;30.11;32.08;28.67;28.48;49.41
APT;63.84;0;53.23;62.48;73.95;80.19;59.26;57.81;49.32;26.44;48.65;20.41;13.29;26.2;6.61;64.85;62.54;66.45;34.77;42.59;36.79;43.89;35.61;30.83
ASL;76.23;53.23;0;41.44;21.71;30.33;10.49;11.05;14.53;34.23;11.58;35.83;42.48;35.09;47.48;11.65;9.39;13.52;49.11;46.73;47.33;47.98;56.53;31.51
DAB;42.91;62.48;41.44;0;42.55;39.4;36.13999999999999;32.06;27.65;60.77;33.66;43.2;49.42;36.54;56.07;43.9;44.98;42.43;33.31;24.58;30.26;24.35;39.18;32.44
DSA;84.06;73.95;21.71;42.55;0;10.51;18.17;16.93;26.69;55.9;27.76;55.09;62.23;52.58;67.86;11.05;14.17;8.45;62.84;57.73;60.38;58.57;70.41;48.11
DSS;82.17;80.19;30.33;39.4;10.51;0;24.8;22.48;31.1;64.35;33.709999999999994;60.47;67.79;56.92;73.84;21.06;24.16;18.28;64.65;58.34;61.92;58.93;72.06;52.16
GFAGFB;73.86;59.26;10.49;36.13999999999999;18.17;24.8;0;4.14;12.64;43.089999999999996;12.91;40.239999999999995;47.4;37.9;53.089999999999996;12.24;12.4;12.15;49.44;45.5;47.23;46.559999999999995;57.019999999999996;33.58
GFC;70.21;57.81;11.05;32.06;16.93;22.48;4.14;0;9.82;42.66;11.260000000000002;38.43;45.67;35.66;51.54;12.5;13.02;11.98;46.45;42.16;44.15;43.17;54.04;31.18
KVB;62.02;49.32;14.53;27.65;26.69;31.1;12.64;9.82;0;37.56;6.05;29.38;36.72;26.04;42.88;21.41;20.98;21.46;36.8;33.08;34.61;34.22;44.39;21.46
MID;78.3;26.44;34.23;60.77;55.9;64.35;43.089999999999996;42.66;37.56;0;34.64;23.38;23.96;29.39;23.92;45.3;42.43;47.56;46.13;50.16;46.49;51.74;50.85;30.88
NLNVAL;66.75999999999999;48.65;11.58;33.66;27.76;33.709999999999994;12.91;11.260000000000002;6.05;34.64;0;29.44;36.61;27.26;42.4;20.560000000000002;19.46;21.25;39.989999999999995;37.269999999999996;38.07;38.51;47.5;23.13
OSC;54.92;20.41;35.83;43.2;55.09;60.47;40.239999999999995;38.43;29.38;23.38;29.44;0;7.35;6.98;13.81;47.04;45.17;48.22;22.75;27.46;23.24;29.01;27.74;10.8
OSE;56.05;13.29;42.48;49.42;62.23;67.79;47.4;45.67;36.72;23.96;36.61;7.35;0;12.95;6.71;53.87;51.86;55.18;24.58;31.12;25.92;32.57;27.76;17.53
OSO;49.3;26.2;35.09;36.54;52.58;56.92;37.9;35.66;26.04;29.39;27.26;6.98;12.95;0;19.65;45.61;44.14;46.41;17.37;20.84;17.25;22.41;23.51;4.88
OSS;60.09;6.61;47.48;56.07;67.86;73.84;53.089999999999996;51.54;42.88;23.92;42.4;13.81;6.71;19.65;0;59.04;56.85;60.52;29.68;36.97;31.41;38.34;31.61;24.23
STA;82.7;64.85;11.65;43.9;11.05;21.06;12.24;12.5;21.41;45.3;20.560000000000002;47.04;53.87;45.61;59.04;0;3.12;2.8;58.12;54.4;56.0;55.47;65.68;41.59
STB;82.81;62.54;9.39;44.98;14.17;24.16;12.4;13.02;20.98;42.43;19.46;45.17;51.86;44.14;56.85;3.12;0;5.88;57.32;54.06;55.32;55.2;64.84;40.31
STC;81.99;66.45;13.52;42.43;8.45;18.28;12.15;11.98;21.46;47.56;21.25;48.22;55.18;46.41;60.52;2.8;5.88;0;58.26;54.14;56.03;55.15;65.84;42.23
TEN;32.18;34.77;49.11;33.31;62.84;64.65;49.44;46.45;36.8;46.13;39.989999999999995;22.75;24.58;17.37;29.68;58.12;57.32;58.26;0;9.05;3.06;9.89;7.59;18.54
TEQ;30.11;42.59;46.73;24.58;57.73;58.34;45.5;42.16;33.08;50.16;37.269999999999996;27.46;31.12;20.84;36.97;54.4;54.06;54.14;9.05;0;6.18;1.58;14.68;19.78
TRB;32.08;36.79;47.33;30.26;60.38;61.92;47.23;44.15;34.61;46.49;38.07;23.24;25.92;17.25;31.41;56.0;55.32;56.03;3.06;6.18;0;7.22;10.13;17.6
TRC;28.67;43.89;47.98;24.35;58.57;58.93;46.559999999999995;43.17;34.22;51.74;38.51;29.01;32.57;22.41;38.34;55.47;55.2;55.15;9.89;1.58;7.22;0;14.83;21.35
TRO;28.48;35.61;56.53;39.18;70.41;72.06;57.019999999999996;54.04;44.39;50.85;47.5;27.74;27.76;23.51;31.61;65.68;64.84;65.84;7.59;14.68;10.13;14.83;0;25.51
VFB;49.41;30.83;31.51;32.44;48.11;52.16;33.58;31.18;21.46;30.88;23.13;10.8;17.53;4.88;24.23;41.59;40.31;42.23;18.54;19.78;17.6;21.35;25.51;0
