from/to;MON;ASL;DAB;DSA;DSS;GFA;GFB;GFC;KVB;NLN;STA;STB;STC;TEQ;TRC;VAL
MON;0;76.23;42.91;84.06;82.17;72.26;72.16;70.21;62.02;66.39;82.7;82.81;81.99;30.11;28.67;65.04
ASL;76.23;0;41.44;21.71;30.33;7.96;9.72;11.05;14.53;9.89;11.65;9.39;13.52;46.73;47.98;11.19
DAB;42.91;41.44;0;42.55;39.4;34.92;34.06;32.06;27.65;33.4;43.9;44.98;42.43;24.58;24.35;31.83
DSA;84.06;21.71;42.55;0;10.51;17.19;15.85;16.93;26.69;26.65;11.05;14.17;8.45;57.73;58.57;26.78
DSS;82.17;30.33;39.4;10.51;0;24.03;22.26;22.48;31.1;32.83;21.06;24.16;18.28;58.34;58.93;32.5
GFA;72.26;7.96;34.92;17.19;24.03;0;1.89;3.17;10.74;9.47;10.68;10.57;10.83;43.73;44.82;9.73
GFB;72.16;9.72;34.06;15.85;22.26;1.89;0;2.02;11.29;10.88;10.55;10.99;10.21;43.97;45.01;10.93
GFC;70.21;11.05;32.06;16.93;22.48;3.17;2.02;0;9.82;10.35;12.5;13.02;11.98;42.16;43.17;10.12
KVB;62.02;14.53;27.65;26.69;31.1;10.74;11.29;9.82;0;5.78;21.41;20.98;21.46;33.08;34.22;4.23
NLN;66.39;9.89;33.4;26.65;32.83;9.47;10.88;10.35;5.78;0;19.18;17.97;19.97;36.84;38.1;1.57
STA;82.7;11.65;43.9;11.05;21.06;10.68;10.55;12.5;21.41;19.18;0;3.12;2.8;54.4;55.47;19.87
STB;82.81;9.39;44.98;14.17;24.16;10.57;10.99;13.02;20.98;17.97;3.12;0;5.88;54.06;55.2;18.87
STC;81.99;13.52;42.43;8.45;18.28;10.83;10.21;11.98;21.46;19.97;2.8;5.88;0;54.14;55.15;20.46
TEQ;30.11;46.73;24.58;57.73;58.34;43.73;43.97;42.16;33.08;36.84;54.4;54.06;54.14;0;1.58;35.6
TRC;28.67;47.98;24.35;58.57;58.93;44.82;45.01;43.17;34.22;38.1;55.47;55.2;55.15;1.58;0;36.83
VAL;65.04;11.19;31.83;26.78;32.5;9.73;10.93;10.12;4.23;1.57;19.87;18.87;20.46;35.6;36.83;0
