from/to;MON;APT;ASL;KVB;MID;NLN;OSC;OSE;OSO;OSS;TEN;TEQ;TRB;TRC;TRO;VAL;VFB
MON;0;63.84;76.23;62.02;78.3;66.39;54.92;56.05;49.3;60.09;32.18;30.11;32.08;28.67;28.48;65.04;49.41
APT;63.84;0;53.23;49.32;26.44;47.51;20.41;13.29;26.2;6.61;34.77;42.59;36.79;43.89;35.61;47.71;30.83
ASL;76.23;53.23;0;14.53;34.23;9.89;35.83;42.48;35.09;47.48;49.11;46.73;47.33;47.98;56.53;11.19;31.51
KVB;62.02;49.32;14.53;0;37.56;5.78;29.38;36.72;26.04;42.88;36.8;33.08;34.61;34.22;44.39;4.23;21.46
MID;78.3;26.44;34.23;37.56;0;33.09;23.38;23.96;29.39;23.92;46.13;50.16;46.49;51.74;50.85;34.1;30.88
NLN;66.39;47.51;9.89;5.78;33.09;0;28.45;35.58;26.46;41.3;39.44;36.84;37.56;38.1;46.93;1.57;22.41
OSC;54.92;20.41;35.83;29.38;23.38;28.45;0;7.35;6.98;13.81;22.75;27.46;23.24;29.01;27.74;28.35;10.8
OSE;56.05;13.29;42.48;36.72;23.96;35.58;7.35;0;12.95;6.71;24.58;31.12;25.92;32.57;27.76;35.56;17.53
OSO;49.3;26.2;35.09;26.04;29.39;26.46;6.98;12.95;0;19.65;17.37;20.84;17.25;22.41;23.51;25.98;4.88
OSS;60.09;6.61;47.48;42.88;23.92;41.3;13.81;6.71;19.65;0;29.68;36.97;31.41;38.34;31.61;41.42;24.23
TEN;32.18;34.77;49.11;36.8;46.13;39.44;22.75;24.58;17.37;29.68;0;9.05;3.06;9.89;7.59;38.45;18.54
TRB;32.08;36.79;47.33;34.61;46.49;37.56;23.24;25.92;17.25;31.41;3.06;6.18;0;7.22;10.13;36.5;17.6
TRO;28.48;35.61;56.53;44.39;50.85;46.93;27.74;27.76;23.51;31.61;7.59;14.68;10.13;14.83;0;45.97;25.51
VAL;65.04;47.71;11.19;4.23;34.1;1.57;28.35;35.56;25.98;41.42;38.45;35.6;36.5;36.83;45.97;0;21.77
VFB;49.41;30.83;31.51;21.46;30.88;22.41;10.8;17.53;4.88;24.23;18.54;19.78;17.6;21.35;25.51;21.77;0
