MON,APTOSS,MON
MON,ASL,MON
MON,DAB,MON
MON,DSS,MON
MON,GFAGFBGFC,MON
MON,KVBNLNVAL,MON
MON,MID,MON
MON,OSCOSE,MON
MON,OSOVFB,MON
MON,TENTEQTRBTRCTRO,MON
MON,ASL,APTOSS,MON
MON,APTOSS,KVBNLNVAL,MON
MON,APTOSS,MID,MON
MON,APTOSS,OSCOSE,MON
MON,APTOSS,OSOVFB,MON
MON,ASL,DAB,MON
MON,ASL,DSS,MON
MON,ASL,KVBNLNVAL,MON
MON,ASL,MID,MON
MON,ASL,OSCOSE,MON
MON,ASL,OSOVFB,MON
MON,DSS,DAB,MON
MON,DAB,KVBNLNVAL,MON
MON,DSS,KVBNLNVAL,MON
MON,MID,KVBNLNVAL,MON
MON,KVBNLNVAL,OSOVFB,MON
MON,MID,OSCOSE,MON
MON,MID,OSOVFB,MON
MON,OSCOSE,OSOVFB,MON
MON,APTOSS,MID,ASL,MON
MON,APTOSS,ASL,OSOVFB,MON
MON,APTOSS,MID,KVBNLNVAL,MON
MON,APTOSS,MID,OSOVFB,MON
MON,ASL,DSS,DAB,MON
MON,MID,ASL,KVBNLNVAL,MON
MON,OSCOSE,MID,ASL,MON
MON,OSOVFB,MID,ASL,MON
MON,KVBNLNVAL,MID,OSOVFB,MON
MON,OSCOSE,MID,OSOVFB,MON
