from/to;DUS;DAB;DRA;DSA;GKR;GUD;JSF;GRA;HDA;SLA;SLB;TEB
DUS;0;92.92;102.68;82.2;117.34;113.38;88.09;90.22;103.41;114.74;119.14;125.16
DAB;92.92;0;57.68;25.53;41.05;27.22;19.26;2.83;25.75;49.35;48.67;53.79
DRA;102.68;57.68;0;36.07;33.29;45.76;39.13;58.24;83.19;20.99;27.39;30.99
DSA;82.2;25.53;36.07;0;35.5;32.38;7.77;24.97;50.82;36.31;39.0;45.12
GKR;117.34;41.05;33.29;35.5;0;16.86;31.34;43.08;62.23;13.55;9.03;12.9
GUD;113.38;27.22;45.76;32.38;16.86;0;25.48;29.73;45.78;29.25;25.82;29.43
JSF;88.09;19.26;39.13;7.77;31.34;25.48;0;19.33;44.99;34.96;36.4;42.36
GRA;90.22;2.83;58.24;24.97;43.08;29.73;19.33;0;25.87;50.86;50.48;55.73
HDA;103.41;25.75;83.19;50.82;62.23;45.78;44.99;25.87;0;72.77;70.82;75.06
SLA;114.74;49.35;20.99;36.31;13.55;29.25;34.96;50.86;72.77;0;6.41;11.02
SLB;119.14;48.67;27.39;39.0;9.03;25.82;36.4;50.48;70.82;6.41;0;6.13
TEB;125.16;53.79;30.99;45.12;12.9;29.43;42.36;55.73;75.06;11.02;6.13;0
